Date,Open,High,Low,Close,Adj Close,Volume
2022-06-29,1.158230,1.162160,1.154600,1.158230,1.158230,0
2022-06-30,1.161040,1.169200,1.159900,1.161040,1.161040,0
2022-07-01,1.160510,1.160920,1.152180,1.160510,1.160510,0
2022-07-04,1.159830,1.163280,1.158700,1.159830,1.159830,0
2022-07-05,1.161010,1.170030,1.159520,1.161010,1.161010,0
2022-07-06,1.164730,1.170620,1.162400,1.164730,1.164730,0
2022-07-07,1.170620,1.181640,1.169210,1.170620,1.170620,0
2022-07-08,1.182810,1.184260,1.179800,1.182810,1.182810,0
2022-07-11,1.181880,1.183860,1.178030,1.181880,1.181880,0
2022-07-12,1.184330,1.185650,1.178500,1.184330,1.184330,0
2022-07-13,1.183940,1.189790,1.180900,1.183940,1.183940,0
2022-07-14,1.182350,1.184660,1.177580,1.182350,1.182350,0
2022-07-15,1.180600,1.181200,1.174610,1.180600,1.180600,0
2022-07-18,1.177370,1.182140,1.175740,1.177370,1.177370,0
2022-07-19,1.177590,1.179520,1.170920,1.177590,1.177590,0
2022-07-20,1.173060,1.176250,1.170710,1.173060,1.173060,0
2022-07-21,1.175470,1.175610,1.164710,1.175470,1.175470,0
2022-07-22,1.173530,1.178160,1.172900,1.173530,1.173530,0
2022-07-25,1.175010,1.179230,1.173090,1.175010,1.175010,0
2022-07-26,1.179030,1.189680,1.177500,1.179030,1.179030,0
2022-07-27,1.188160,1.190610,1.186750,1.188160,1.188160,0
2022-07-28,1.191610,1.197970,1.189910,1.191610,1.191610,0
2022-07-29,1.194250,1.194680,1.188300,1.194250,1.194250,0
2022-08-01,1.191990,1.196680,1.190300,1.191990,1.191990,0
2022-08-02,1.194100,1.198880,1.190540,1.194100,1.194100,0
2022-08-03,1.195540,1.198530,1.194360,1.195540,1.195540,0
2022-08-04,1.194880,1.196460,1.185320,1.194880,1.194880,0
2022-08-05,1.186290,1.188730,1.183100,1.186290,1.186290,0
2022-08-08,1.185500,1.188820,1.184200,1.185500,1.185500,0
2022-08-09,1.184950,1.185590,1.181500,1.184950,1.184950,0
2022-08-10,1.182100,1.185150,1.180530,1.182100,1.182100,0
2022-08-11,1.185540,1.186120,1.180300,1.185540,1.185540,0
2022-08-12,1.181490,1.183680,1.177500,1.181490,1.181490,0
2022-08-15,1.182540,1.186790,1.180760,1.182540,1.182540,0
2022-08-16,1.186320,1.189530,1.184750,1.186320,1.186320,0
2022-08-17,1.189400,1.191990,1.183300,1.189400,1.189400,0
2022-08-18,1.183350,1.186780,1.181240,1.183350,1.183350,0
2022-08-19,1.182530,1.182610,1.174800,1.182530,1.182530,0
2022-08-22,1.177550,1.183830,1.177300,1.177550,1.177550,0
2022-08-23,1.183680,1.188020,1.182990,1.183680,1.183680,0
2022-08-24,1.186870,1.189140,1.182520,1.186870,1.186870,0
2022-08-25,1.182780,1.186520,1.182030,1.182780,1.182780,0
2022-08-26,1.185670,1.186090,1.176090,1.185670,1.185670,0
2022-08-29,1.176480,1.176700,1.169670,1.176480,1.176480,0
2022-08-30,1.170850,1.173340,1.162510,1.170850,1.170850,0
2022-08-31,1.162940,1.166400,1.155670,1.162940,1.162940,0
2022-09-01,1.155180,1.160950,1.153490,1.155180,1.155180,0
2022-09-02,1.160290,1.160710,1.152460,1.160290,1.160290,0
2022-09-05,1.157850,1.160450,1.155800,1.157850,1.157850,0
2022-09-06,1.162000,1.167090,1.160000,1.162000,1.162000,0
2022-09-07,1.162920,1.162910,1.150600,1.162920,1.162920,0
2022-09-08,1.152340,1.155450,1.147750,1.152340,1.152340,0
2022-09-09,1.150500,1.154750,1.148460,1.150500,1.150500,0
2022-09-12,1.153580,1.155900,1.146450,1.153580,1.153580,0
2022-09-13,1.153910,1.156110,1.150600,1.153910,1.153910,0
2022-09-14,1.152790,1.158970,1.151400,1.152790,1.152790,0
2022-09-15,1.156370,1.156950,1.147900,1.156370,1.156370,0
2022-09-16,1.146430,1.147180,1.139250,1.146430,1.146430,0
2022-09-19,1.140630,1.142940,1.137950,1.140630,1.140630,0
2022-09-20,1.140830,1.145950,1.138490,1.140830,1.140830,0
2022-09-21,1.141270,1.147730,1.140800,1.141270,1.141270,0
2022-09-22,1.144840,1.150220,1.141520,1.144840,1.144840,0
2022-09-23,1.144700,1.147750,1.122480,1.144700,1.144700,0
2022-09-26,1.114430,1.127550,1.081320,1.114430,1.114430,0
2022-09-27,1.119200,1.123860,1.115720,1.119200,1.119200,0
2022-09-28,1.117630,1.128420,1.103240,1.117630,1.117630,0
2022-09-29,1.115910,1.130760,1.113610,1.115910,1.115910,0
2022-09-30,1.136070,1.142300,1.130080,1.136070,1.136070,0
2022-10-03,1.137340,1.152150,1.132300,1.137340,1.137340,0
2022-10-04,1.152610,1.155830,1.143680,1.152610,1.152610,0
2022-10-05,1.146780,1.149990,1.139300,1.146780,1.146780,0
2022-10-06,1.145560,1.146860,1.134290,1.145560,1.145560,0
2022-10-07,1.140080,1.144510,1.135460,1.140080,1.140080,0
2022-10-10,1.137240,1.142500,1.134610,1.137240,1.137240,0
2022-10-11,1.140530,1.145950,1.135400,1.140530,1.140530,0
2022-10-12,1.130500,1.144600,1.127750,1.130500,1.130500,0
2022-10-13,1.143770,1.160560,1.140590,1.143770,1.143770,0
2022-10-14,1.156790,1.158690,1.147300,1.156790,1.156790,0
2022-10-17,1.154320,1.165440,1.151280,1.154320,1.154320,0
2022-10-18,1.153200,1.157560,1.145430,1.153200,1.153200,0
2022-10-19,1.149910,1.151700,1.145670,1.149910,1.149910,0
2022-10-20,1.147730,1.152510,1.141600,1.147730,1.147730,0
2022-10-21,1.147380,1.147550,1.138890,1.147380,1.147380,0
2022-10-24,1.150410,1.154140,1.142800,1.150410,1.150410,0
2022-10-25,1.143620,1.153790,1.141790,1.143620,1.143620,0
2022-10-26,1.150280,1.156460,1.149370,1.150280,1.150280,0
2022-10-27,1.153080,1.160110,1.150910,1.153080,1.153080,0
2022-10-28,1.160180,1.166000,1.156010,1.160180,1.160180,0
2022-10-31,1.164640,1.166380,1.160100,1.164640,1.164640,0
2022-11-01,1.159910,1.163010,1.159480,1.159910,1.159910,0
2022-11-02,1.163000,1.164690,1.159800,1.163000,1.163000,0
2022-11-03,1.159500,1.161600,1.145000,1.159500,1.159500,0
2022-11-04,1.145650,1.149410,1.138210,1.145650,1.145650,0
2022-11-07,1.141160,1.148980,1.137670,1.141160,1.141160,0
2022-11-08,1.149500,1.150370,1.143470,1.149500,1.149500,0
2022-11-09,1.145850,1.147280,1.133630,1.145850,1.145850,0
2022-11-10,1.134470,1.148460,1.134300,1.134470,1.134470,0
2022-11-11,1.147370,1.147740,1.139190,1.147370,1.147370,0
2022-11-14,1.142250,1.145560,1.133640,1.142250,1.142250,0
2022-11-15,1.138580,1.147770,1.135700,1.138580,1.138580,0
2022-11-16,1.146800,1.147410,1.139520,1.146800,1.146800,0
2022-11-17,1.146180,1.149850,1.139800,1.146180,1.146180,0
2022-11-18,1.144450,1.151500,1.144400,1.144450,1.144450,0
2022-11-21,1.150300,1.154720,1.149670,1.150300,1.150300,0
2022-11-22,1.154190,1.158240,1.151990,1.154190,1.154190,0
2022-11-23,1.153400,1.164510,1.149500,1.153400,1.153400,0
2022-11-24,1.158840,1.166390,1.157700,1.158840,1.158840,0
2022-11-25,1.163640,1.165650,1.160750,1.163640,1.163640,0
2022-11-28,1.162580,1.164490,1.152720,1.162580,1.162580,0
2022-11-29,1.156150,1.161620,1.155760,1.156150,1.156150,0
2022-11-30,1.157060,1.159790,1.154590,1.157060,1.157060,0
2022-12-01,1.158000,1.169790,1.157150,1.158000,1.158000,0
2022-12-02,1.164250,1.168590,1.161400,1.164250,1.164250,0
2022-12-05,1.166050,1.167140,1.158370,1.166050,1.166050,0
2022-12-06,1.161380,1.165010,1.158410,1.161380,1.161380,0
2022-12-07,1.158980,1.161360,1.156800,1.158980,1.158980,0
2022-12-08,1.161400,1.161860,1.156700,1.161400,1.161400,0
2022-12-09,1.158790,1.167680,1.157700,1.158790,1.158790,0
2022-12-12,1.162980,1.165030,1.161040,1.162980,1.162980,0
2022-12-13,1.163860,1.167590,1.162120,1.163860,1.163860,0
2022-12-14,1.162400,1.165610,1.160680,1.162400,1.162400,0
2022-12-15,1.163110,1.163490,1.146410,1.163110,1.163110,0
2022-12-16,1.145820,1.148070,1.139900,1.145820,1.145820,0
2022-12-19,1.148660,1.150550,1.145040,1.148660,1.148660,0
2022-12-20,1.145060,1.148170,1.140030,1.145060,1.145060,0
2022-12-21,1.146990,1.147170,1.138870,1.146990,1.146990,0
2022-12-22,1.138310,1.140590,1.132150,1.138310,1.138310,0
2022-12-23,1.135300,1.138440,1.134100,1.135300,1.135300,0
2022-12-26,1.134240,1.137100,1.132740,1.134240,1.134240,0
2022-12-27,1.135480,1.136170,1.128100,1.135480,1.135480,0
2022-12-28,1.130470,1.136960,1.128300,1.130470,1.130470,0
2022-12-29,1.131490,1.133290,1.128780,1.131490,1.131490,0
2022-12-30,1.130750,1.133270,1.126530,1.130750,1.130750,0
2023-01-02,1.129500,1.130860,1.126690,1.129500,1.129500,0
2023-01-03,1.129600,1.138470,1.128630,1.129600,1.129600,0
2023-01-04,1.134710,1.137720,1.133500,1.134710,1.134710,0
2023-01-05,1.136580,1.136510,1.128280,1.136580,1.136580,0
2023-01-06,1.131840,1.136560,1.127610,1.131840,1.131840,0
2023-01-09,1.136840,1.140150,1.134020,1.136840,1.136840,0
2023-01-10,1.134900,1.135960,1.130000,1.134900,1.134900,0
2023-01-11,1.131690,1.132510,1.125700,1.131690,1.131690,0
2023-01-12,1.129210,1.131990,1.124410,1.129210,1.129210,0
2023-01-13,1.124830,1.128450,1.123800,1.124830,1.124830,0
2023-01-16,1.129330,1.130280,1.126180,1.129330,1.129330,0
2023-01-17,1.127050,1.137130,1.125100,1.127050,1.127050,0
2023-01-18,1.138350,1.144670,1.135830,1.138350,1.138350,0
2023-01-19,1.143380,1.146290,1.138230,1.143380,1.143380,0
2023-01-20,1.143780,1.143800,1.138100,1.143780,1.143780,0
2023-01-23,1.141800,1.141800,1.134300,1.141690,1.141690,0
2023-01-24,1.138550,1.140490,1.130320,1.138550,1.138550,0
2023-01-25,1.132200,1.135150,1.129730,1.132200,1.132200,0
2023-01-26,1.136300,1.138400,1.134440,1.136300,1.136300,0
2023-01-27,1.139510,1.140710,1.135700,1.139510,1.139510,0
